鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
卓蘭鎮,土地,豐田段1~30地號,3000.01,,一般農業區,農牧用地,1080618,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,4000,,0.0,0,,RPRNMLSKPHOFFAK76CA
大湖鄉,土地,百壽段91~120地號,683.05,,山坡地保育區,丙種建築用地,1080529,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,7759,,0.0,0,包含壹棟未辦保存登記建物。,RPQNMLTKPHOFFAK76CA
頭屋鄉,房地(土地+建物),苗栗縣頭屋鄉頭屋村20鄰中華街36巷1~30號,91.64,住,,,1080525,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0680705,130.93,6,2,3,有,無,4300000,32842,,0.0,0,權利人2人,RPUNMLPKPHOFFBK86CA
苗栗市,房地(土地+建物),苗栗縣苗栗市嘉盛里15鄰為公路361~390號,93.99,住,,,1080513,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0690221,217.25,5,2,3,有,無,4350000,20023,,0.0,0,,RPUNMLQKPHOFFBK96CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080128,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,128.70999999999998,3,2,2,有,有,6020000,46772,一樓平面,0.0,0,,RPVNMLQKPHOFFBK07CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080302,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,130.36,3,2,2,有,有,6000000,46026,一樓平面,0.0,0,,RPWNMLQKPHOFFBK17CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080201,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,136.81,3,2,2,有,有,6300000,46049,一樓平面,0.0,0,,RPXNMLQKPHOFFBK27CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080128,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,130.36,3,2,2,有,有,6200000,47561,一樓平面,0.0,0,,RPOOMLQKPHOFFBK09CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080311,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,128.70999999999998,3,2,2,有,有,6200000,48170,一樓平面,0.0,0,,RPSOMLQKPHOFFBK86CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080301,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,120.5,3,2,2,有,有,6100000,50622,一樓平面,0.0,0,,RPQNMLRKPHOFFBK66CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080130,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,120.5,2,2,2,有,有,6020000,49959,一樓平面,0.0,0,,RPRNMLRKPHOFFBK76CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080131,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,136.81,3,2,2,有,有,6310000,46122,一樓平面,0.0,0,,RPQOMLQKPHOFFBK66CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里19鄰新東街361~390號,39.81,,鄉村區,乙種建築用地,1080130,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,120.5,2,2,2,有,有,5900000,48963,一樓平面,0.0,0,,RPTNMLMLPHOFFBK56CA
公館鄉,房地(土地+建物),苗栗縣公館鄉中義村8鄰中義181~210號,163.59,,特定農業區,甲種建築用地,1080330,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071022,235.5,5,2,6,有,無,11880000,50446,,0.0,0,親友、員工或其他特殊關係間之交易。;內含電梯,RPPOMLRJQHOFFBK66CA
公館鄉,房地(土地+建物),苗栗縣公館鄉中義村8鄰中義181~210號,180.24,,特定農業區,甲種建築用地,1080330,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071022,254.86,5,2,6,有,無,12200000,47869,,0.0,0,親友、員工或其他特殊關係間之交易。;內含電梯,RPTOMLRJQHOFFBK07CA
苗栗市,土地,南勢坑段下南勢坑小段1141~1170地號,2197.06,,山坡地保育區,農牧用地,1080424,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1406116,640,,0.0,0,,RPPNMLSJQHOFFBK66CA
苗栗市,土地,南勢坑段下南勢坑小段1111~1140地號,2197.06,,山坡地保育區,農牧用地,1080424,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1406116,640,,0.0,0,,RPQNMLSJQHOFFBK76CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮中正里4鄰中正1~30號,103.6,住,,,1080623,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070704,176.89,5,1,3,有,有,6680000,37764,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間買賣,RPVNMLPKPHOFFCK07CA
苑裡鎮,土地,福田段661~690地號,595.04,住,,,1080514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20699954,34788,,0.0,0,,RPRNMLQKPHOFFCK76CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮房裡里7鄰南房61~90號,98.0,,特定農業區,甲種建築用地,1080611,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,145.08,3,3,3,有,無,3400000,23435,,0.0,0,,RPQNMLRKPHOFFCK76CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮房裡里7鄰南房61~90號,109.0,,特定農業區,甲種建築用地,1080611,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,150.9,3,3,3,有,無,3400000,22531,,0.0,0,,RPRNMLRKPHOFFCK86CA
通霄鎮,房地(土地+建物),苗栗縣通霄鎮通南里6鄰南華路23巷1~30號,62.58,住,,,1080607,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,,113.66,4,2,3,有,無,2800000,24635,,0.0,0,,RPSNMLRKPHOFFCK96CA
苑裡鎮,土地,田寮段1261~1290地號,530.0,,特定農業區,甲種建築用地,1080514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12184700,22990,,0.0,0,,RPSNMLOLPHOFFCK76CA
通霄鎮,房地(土地+建物),苗栗縣通霄鎮通南里12鄰南華路16巷1~30號,89.2,住,,,1080620,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,156.34,7,2,3,有,無,4150000,26545,,0.0,0,土地增值稅35085元，雙方約定由買方支付。,RPPNMLLJQHOFFCK68CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔一街91~120號,47.4,住,,,1080518,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051012,154.95,3,2,2,有,有,8680000,56018,坡道平面,0.0,0,,RPPPMLLKPHOFFDK98CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮正南里10鄰中山路31~60號,25.85,商,,,1080615,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930924,145.29,3,2,2,有,有,5000000,34414,,0.0,0,,RPQPMLLKPHOFFDK09CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮竹南里10鄰和平街61~90號,8.16,商,,,1080626,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871111,155.89,3,2,2,有,有,5620000,36049,坡道平面,50.92,0,,RPSNMLPKPHOFFDK86CA
通霄鎮,土地,通灣段511~540地號,117.35,,山坡地保育區,丙種建築用地,1080614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,516340,4400,,0.0,0,二等親屬間買賣，已申報贈與稅,RPQNMLQJQHOFFCK66CA
竹南鎮,土地,中正段1~30地號,431.94,住,,,1080120,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15287220,35392,,0.0,0,,RPVOMLPLPHOFFDK37CA
竹南鎮,土地,中正段1~30地號,109.44,住,,,1080312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3873355,35392,,0.0,0,增值稅＄15499元整由買方繳納,RPWOMLPLPHOFFDK47CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮天文里10鄰龍昇街28巷1~30號,64.29,住,,,1080615,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0850712,222.68,4,2,3,有,無,7900000,35477,,0.0,0,,RPROMLNLPHOFFDK76CA
銅鑼鄉,土地,老雞隆段961~990地號,49074.0,,山坡地保育區,農牧用地,1080523,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,408,,0.0,0,,RPPNMLTKPHOFFEK07CA
南庄鄉,土地,四灣段91~120地號,1116.0,,山坡地保育區,農牧用地,1080618,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2050000,1837,,0.0,0,,RPPNMLLKPHOFFFK98CA
頭份巿,土地,文正段391~420地號,2601.2,,山坡地保育區,農牧用地,1080202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,2114,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPXNMLLKPHOFFFK17CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市蟠桃里18鄰信一街1~30號,38.23,住,,,1080610,土地1建物1車位1,四層,五層,套房(1房1廳1衛),住家用,見其他登記事項,0960411,41.46,1,1,1,有,有,1950000,47033,一樓平面,0.0,0,,RPPNMLMKPHOFFFK09CA
頭份巿,房地(土地+建物),苗栗縣頭份市東庄里19鄰昌隆一街1~30號,34.39,住,,,1080611,土地1建物1車位0,一層,十四層,店面(店鋪),商業用,鋼筋混凝土造,1070419,151.76999999999998,0,0,0,無,有,11000000,72478,,0.0,0,,RPQNMLMKPHOFFFK56CA
頭份巿,房地(土地+建物),苗栗縣頭份市後庄里22鄰天祥街65巷1~30號,107.03,住,,,1080521,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0921114,192.9,4,2,3,有,無,8900000,46138,,0.0,0,,RPTNMLMKPHOFFFK86CA
頭份巿,房地(土地+建物),苗栗縣頭份市田寮里16鄰北田街49巷1~30號,149.3,住,,,1080514,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0961102,186.85,4,2,4,有,無,5000000,26759,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPKPHOFFFK76CA
頭份巿,房地(土地+建物),苗栗縣頭份市珊湖里2鄰學府路73巷1~30號,60.37,,山坡地保育區,丙種建築用地,1080527,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820703,117.75,0,0,0,無,無,1000000,8493,,0.0,0,,RPWNMLPKPHOFFFK47CA
頭份巿,房地(土地+建物),苗栗縣頭份市興隆里5鄰花園東路100巷31~60號,209.85,,山坡地保育區,丙種建築用地,1080624,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051222,205.85,3,2,4,有,有,12000000,58295,,0.0,0,,RPPNMLSKPHOFFFK07CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市民權里4鄰銀河路241~270號,27.28,住,,,1080529,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070809,147.68,3,2,2,有,有,6500000,45290,坡道平面,26.24,1000000,,RPRPMLKMPHOFFFK86CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市上興里15鄰永昌街52巷1~30號,25.56,,山坡地保育區,丙種建築用地,1071016,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,109.29,3,2,2,有,無,3620000,34522,坡道平面,13.7,320000,,RPTPMLKMPHOFFFK07CA
頭份巿,土地,東庄段1471~1500地號,17.19,住,,,1080702,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,468000,27225,,0.0,0,使用分區住宅區附帶條件,RPTNMLOLPHOFFFK17CA
頭份巿,房地(土地+建物),苗栗縣頭份市建國里6鄰大同路61~90號,156.0,住,,,1080624,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0760421,158.92,4,3,2,有,無,5392100,33930,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPRNMLPLPHOFFFK07CA
卓蘭鎮,土地,中角段1231~1260地號,2.39,住,,,1080606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,73000,30544,,0.0,0,,RPQNMLRJQHOFFAK66DA
苗栗市,房地(土地+建物),苗栗縣苗栗市綠苗里13鄰光復路96巷1~30號,27.15,商,,,1080626,土地3建物1車位0,二層,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,198.8,3,1,1,有,無,2270000,11419,,0.0,0,,RPQNMLLMPHOFFBK98DA
後龍鎮,土地,外埔段2161~2190地號,2309.0,,特定農業區,農牧用地,1080627,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2193550,950,,0.0,0,,RPVNMLPKPHOFFDK27DA
銅鑼鄉,土地,新雞隆段1651~1680地號,134.0,,山坡地保育區,農牧用地,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,448,,0.0,0,,RPTNMLMKPHOFFEK86DA
銅鑼鄉,土地,新雞隆段1651~1680地號,179.0,,山坡地保育區,農牧用地,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000,335,,0.0,0,,RPUNMLMKPHOFFEK96DA
苗栗市,房地(土地+建物),苗栗縣苗栗市福星里21鄰中華路306巷1~30號,143.28,住,,,1080415,土地2建物1車位0,全,,透天厝,住家用,鋼筋混凝土造,0810522,187.19,4,2,2,有,無,4500000,24040,,0.0,0,親友、員工或其他特殊關係間之交易。;權利人二人,RPPNMLMLPHOFFBK88DA
頭份巿,房地(土地+建物),苗栗縣頭份市興隆里13鄰華興街8巷1~30號,131.24,,山坡地保育區,丙種建築用地,1080522,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701204,93.6,4,2,2,有,無,6300000,67308,,0.0,0,,RPUNMLNLPHOFFFK17CA
頭份巿,房地(土地+建物),苗栗縣頭份市信義里11鄰中華路901~930號,9.29,商,,,1080616,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0821221,90.73,3,2,1,有,有,2900000,31963,,0.0,0,,RPQNMLPKPHOFFFK86CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市田寮里10鄰維新路1~30號,14.77,住,,,1080525,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050415,148.89,3,2,2,有,有,7500000,50373,坡道機械,0.0,0,,RPWNMLMKPHOFFFK17CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里6鄰昌隆一街331~360號,27.83,住,,,1080523,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061115,160.76,3,2,2,有,有,6350000,39500,坡道平面,0.0,0,,RPXNMLMKPHOFFFK27CA
三義鄉,房地(土地+建物),苗栗縣三義鄉勝興村歐香新城31~60號,103.38,,山坡地保育區,丙種建築用地,1080613,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830112,161.6,4,2,3,有,無,3950000,24443,,0.0,0,含增建或未登記建物。;,RPPNMLOKPHOFFEK56CA
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉中隆一路151~180號,5088.18,,工業區,丁種建築用地,1080624,土地1建物1車位0,一層,一層,工廠,工業用,見其他登記事項,0860509,3312.0,0,0,0,無,無,151680000,,,0.0,0,鋼架有牆廠房無隔間,RPPNMLPKPHOFFEK66CA
後龍鎮,土地,新港段後壁厝小段451~480地號,1129.0,,特定農業區,農牧用地,1080511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2718160,2408,,0.0,0,,RPRNMLTLPHOFFDK27CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專五路118巷1~30號,90.6,住,,,1080605,土地6建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1040930,278.11,5,2,3,有,無,11000000,39553,,0.0,0,,RPPOMLTKPHOFFDK07CA
