鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區南華街151~180號,7.45,住,,,1080622,土地3建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690114,38.79,1,1,1,有,有,1100000,28358,,0.0,0,,RPORMLLKPHOFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區桃一街31~60號,21.84,住,,,1080524,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831029,164.85,4,2,2,有,有,7650000,46406,坡道平面,0.0,0,,RPXOMLMKPHOFFAH56CA
桃園區,土地,中路一段121~150地號,403.26,,特定農業區,農牧用地,1080618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7318800,18149,,0.0,0,,RPPNMLPKPHOFFAH58CA
桃園區,房地(土地+建物),桃園市桃園區大業路二段241~270號,20.51,住,,,1080620,土地1建物2車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830825,112.28999999999999,2,1,1,有,有,4300000,38294,,0.0,0,,RPUNMLQKPHOFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街211~240號,20.31,住,,,1080613,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830330,142.62,3,2,2,有,有,7000000,49081,坡道平面,0.0,0,,RPVNMLQKPHOFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區壽星街1~30號,35.48,住,,,1080404,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),住商用,鋼筋混凝土造,0701024,163.74,0,0,0,無,無,11800000,72065,,0.0,0,,RPTQMLQKPHOFFAH76CA
桃園區,房地(土地+建物),桃園市桃園區江南十街32巷1~30號,11.86,住,,,1080528,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821104,77.53999999999999,2,2,1,有,有,4000000,51586,,0.0,0,,RPWQMLQKPHOFFAH07CA
桃園區,房地(土地+建物),桃園市桃園區長春路181~210號,26.56,住,,,1080615,土地2建物2車位0,地下一層,七層,店面(店鋪),商業用,鋼筋混凝土造,0851008,208.95,3,3,1,有,無,14000000,67002,,0.0,0,,RPWQMLSKPHOFFAH27CA
桃園區,房地(土地+建物),桃園市桃園區莊敬路一段151~180號,13.74,住,,,1080518,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831223,121.44,3,2,2,有,有,7400000,60935,,0.0,0,,RPQOMLMLPHOFFAH58CA
桃園區,土地,國際段331~360地號,1345.77,農,,,1080509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35417000,26317,,0.0,0,,RPOOMLMLPHOFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路721~750號,27.97,住,,,1080610,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040810,184.78,3,2,2,有,有,8600000,46542,坡道平面,47.26,0,,RPVUMLMLPHOFFAH07CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.71,商,,,1080620,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.91,2,2,1,有,有,5850000,59145,,0.0,0,,RPRNMLPLPHOFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.71,商,,,1080620,土地2建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.91,2,2,1,有,有,5980000,60459,,0.0,0,,RPSNMLPLPHOFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.94,商,,,1080620,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.5,2,2,1,有,有,6460000,56213,坡道機械,13.59,900000,,RPVNMLPLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.94,商,,,1080620,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.69,2,2,1,有,有,6700000,58639,坡道機械,13.78,900000,,RPOOMLPLPHOFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路121~150號,9.8,商,,,1080620,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,109.82,2,2,1,有,有,5790000,47297,坡道平面,21.23,1600000,,RPTOMLPLPHOFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,10.73,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.72999999999999,2,2,1,有,有,6330000,56524,坡道機械,13.78,850000,,RPUOMLPLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,10.73,商,,,1080620,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,111.19,2,2,1,有,有,6130000,54461,坡道機械,14.24,850000,,RPVOMLPLPHOFFAH76CA
桃園區,房地(土地+建物),桃園市桃園區大興西路二段31~60號,8.45,住,,,1080424,土地1建物1車位0,八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840225,94.22,2,2,1,有,有,6170000,65485,,0.0,0,,RPVTMLPLPHOFFAH27CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.53,商,,,1080620,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,97.25,2,2,1,有,有,5950000,61183,,0.0,0,,RPQNMLQLPHOFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,111.4,2,2,1,有,有,6360000,56658,坡道機械,14.15,850000,,RPRNMLQLPHOFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,111.31,2,2,1,有,有,6250000,55527,坡道機械,14.06,850000,,RPSNMLQLPHOFFAH09CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.55,商,,,1080620,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,97.35,2,2,1,有,有,5800000,59579,,0.0,0,,RPTNMLQLPHOFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.55,商,,,1080620,土地2建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,97.35,2,2,1,有,有,5800000,59579,,0.0,0,,RPUNMLQLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.78,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,111.13,2,2,1,有,有,6500000,57524,坡道機械,13.78,900000,,RPVNMLQLPHOFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.78,商,,,1080620,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,118.58,2,2,1,有,有,6650000,50847,坡道平面,21.23,1700000,,RPWNMLQLPHOFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.78,商,,,1080620,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,111.41,2,2,1,有,有,6260000,55573,坡道機械,14.06,850000,,RPOOMLQLPHOFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路451~480號,19.18,住,,,1071216,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080429,142.79,2,1,1,有,有,9380000,76070,坡道平面,41.83,1700000,,RPPOMLQLPHOFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.81,2,2,1,有,有,6400000,57199,坡道機械,13.78,850000,,RPQOMLQLPHOFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路451~480號,19.18,住,,,1080219,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080429,142.79,2,1,1,有,有,8690000,69235,坡道平面,41.83,1700000,,RPROMLQLPHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路451~480號,26.49,住,,,1080202,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080429,181.3,3,2,2,有,有,11900000,73134,坡道平面,41.83,1700000,,RPSOMLQLPHOFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路451~480號,25.51,住,,,1070624,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080429,176.16,3,2,2,有,有,10930000,69456,坡道平面,41.83,1600000,,RPTOMLQLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.81,2,2,1,有,有,6420000,57405,坡道機械,13.78,850000,,RPVOMLQLPHOFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路451~480號,22.47,住,,,1080109,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080429,160.21,3,2,2,有,有,10000000,70958,坡道平面,41.83,1600000,,RPWOMLQLPHOFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.72,2,2,1,有,有,4950000,48532,坡道機械,14.24,850000,,RPXOMLPLPHOFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,10.6,商,,,1080620,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,116.59,2,2,1,有,有,6290000,49182,坡道平面,21.23,1600000,,RPPPMLPLPHOFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,11.03,商,,,1080620,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.50999999999999,2,2,1,有,有,6750000,50923,坡道平面,22.34,1700000,,RPRPMLPLPHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,13.19,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,141.01999999999998,3,2,2,有,有,7950000,53009,坡道平面,21.23,1600000,,RPVPMLPLPHOFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,14.28,商,,,1080620,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,151.5,3,2,2,有,有,8700000,53422,坡道平面,22.34,1800000,,RPWPMLPLPHOFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.39,商,,,1080620,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,107.6,2,2,1,有,有,5710000,51697,坡道機械,13.59,850000,,RPOQMLPLPHOFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區大業路一段271~300號,74.47,住,,,1080617,土地1建物1車位0,十層，十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020930,425.88,4,2,3,有,無,28000000,65746,,0.0,0,,RPTQMLPLPHOFFAH76CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.16,商,,,1080620,土地2建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.00999999999999,2,2,1,有,有,5250000,55845,,0.0,0,,RPOPMLQLPHOFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民富十三街61~90號,30.2,住,,,1070706,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080429,200.99,4,2,2,有,有,12580000,68987,坡道平面,41.83,1600000,,RPPPMLQLPHOFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.72,2,2,1,有,有,5400000,53859,坡道機械,14.24,850000,,RPXSMLQLPHOFFAH47CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.25999999999999,2,2,1,有,有,5250000,50900,坡道機械,13.78,950000,,RPPTMLQLPHOFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,106.82,2,2,1,有,有,5420000,45218,坡道平面,22.34,1600000,,RPRTMLQLPHOFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,11.03,商,,,1080620,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.50999999999999,2,2,1,有,有,6700000,50418,坡道平面,22.34,1700000,,RPTTMLQLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.92,商,,,1080620,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.71,2,2,1,有,有,6470000,56514,坡道機械,14.15,900000,,RPWTMLQLPHOFFAH47CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.92,商,,,1080620,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.33,2,2,1,有,有,6530000,57128,坡道機械,13.78,900000,,RPXTMLQLPHOFFAH57CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.92,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.33,2,2,1,有,有,6500000,56824,坡道機械,13.78,900000,,RPPUMLQLPHOFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.46,商,,,1080620,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,107.99000000000001,2,2,1,有,有,6290000,57097,坡道機械,13.59,900000,,RPRUMLQLPHOFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.84,2,2,1,有,有,6450000,56555,坡道機械,13.59,950000,,RPSUMLQLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,14.28,商,,,1080620,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,151.5,3,2,2,有,有,8550000,53035,坡道平面,22.34,1700000,,RPUUMLQLPHOFFAH37CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.81,2,2,1,有,有,6440000,57096,坡道機械,13.78,900000,,RPXUMLQLPHOFFAH67CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.53,商,,,1080620,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,97.03,2,2,1,有,有,5950000,61321,,0.0,0,,RPUVMLQLPHOFFAH47CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.94,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.25,2,2,1,有,有,7000000,53584,坡道平面,22.34,1700000,,RPXVMLQLPHOFFAH77CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.94,商,,,1080620,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,112.69,2,2,1,有,有,6700000,58639,坡道機械,13.78,900000,,RPRWMLQLPHOFFAH27CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.94,商,,,1080620,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.25,2,2,1,有,有,7200000,54595,坡道平面,22.34,1800000,,RPUWMLQLPHOFFAH57CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.71,商,,,1080620,土地2建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.91,2,2,1,有,有,6050000,61167,,0.0,0,,RPXWMLQLPHOFFAH87CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.39,商,,,1080620,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,108.06,2,2,1,有,有,5550000,48936,坡道機械,14.06,950000,,RPQNNLQLPHOFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.39,商,,,1080620,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,107.6,2,2,1,有,有,5800000,52654,坡道機械,13.59,850000,,RPUNNLQLPHOFFAH76CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.16,商,,,1080620,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.00999999999999,2,2,1,有,有,5300000,56377,,0.0,0,,RPVNNLQLPHOFFAH86CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.16,商,,,1080620,土地2建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.00999999999999,2,2,1,有,有,5400000,57441,,0.0,0,,RPXNNLQLPHOFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路121~150號,9.8,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,102.65,2,2,1,有,有,5500000,51360,坡道機械,14.06,950000,,RPQONLQLPHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,106.82,2,2,1,有,有,5660000,45691,坡道平面,22.34,1800000,,RPTONLQLPHOFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,98.72,2,2,1,有,有,5150000,49716,坡道機械,14.24,950000,,RPXONLQLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,10.6,商,,,1080620,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,109.61000000000001,2,2,1,有,有,6360000,56726,坡道機械,14.24,950000,,RPQPNLQLPHOFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,10.6,商,,,1080620,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,109.98,2,2,1,有,有,6280000,55893,坡道機械,14.62,950000,,RPRPNLQLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,11.03,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.50999999999999,2,2,1,有,有,6660000,50015,坡道平面,22.34,1700000,,RPVPNLQLPHOFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,11.03,商,,,1080620,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.50999999999999,2,2,1,有,有,6690000,50318,坡道平面,22.34,1700000,,RPOQNLQLPHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,11.03,商,,,1080620,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,121.50999999999999,2,2,1,有,有,6750000,51931,坡道平面,22.34,1600000,,RPQQNLQLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,16.96,商,,,1080620,土地2建物1車位1,一層，夾層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080528,173.76999999999998,0,0,1,有,有,18360000,109357,坡道平面,22.34,1800000,,RPVQNLQLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.92,商,,,1080620,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,120.9,2,2,1,有,有,6740000,50122,坡道平面,22.34,1800000,,RPPRNLQLPHOFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區新埔五街61~90號,13.31,住,,,1080610,土地1建物1車位0,四層，五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860513,162.96,3,2,2,有,有,8800000,54001,,0.0,0,"車位無建物產權登記,有固定位置使用",RPRNMLTLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.78,商,,,1080620,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,119.69999999999999,2,2,1,有,有,6850000,52896,坡道平面,22.34,1700000,,RPOOMLTLPHOFFAH09CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.23,商,,,1080620,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.4,2,2,1,有,有,5600000,59322,,0.0,0,,RPPOMLTLPHOFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.23,商,,,1080620,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.4,2,2,1,有,有,5660000,59958,,0.0,0,,RPQOMLTLPHOFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.55,商,,,1080620,土地2建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,97.35,2,2,1,有,有,5920000,60812,,0.0,0,,RPSOMLTLPHOFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,14.28,商,,,1080620,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,150.38,3,2,2,有,有,8590000,54123,坡道平面,21.23,1600000,,RPVOMLTLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路121~150號,9.8,商,,,1080620,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.93,2,2,1,有,有,5970000,47071,坡道平面,22.34,1800000,,RPXOMLTLPHOFFAH37CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路121~150號,9.8,商,,,1080620,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,102.37,2,2,1,有,有,5650000,53053,坡道機械,13.78,950000,,RPOPMLTLPHOFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.23,商,,,1080620,土地2建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.4,2,2,1,有,有,5750000,60911,,0.0,0,,RPPPMLTLPHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.76,商,,,1080620,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,118.48,2,2,1,有,有,6900000,53470,坡道平面,21.23,1700000,,RPQPMLTLPHOFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路91~120號,10.46,商,,,1080620,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,116.75,2,2,1,有,有,6750000,53490,坡道平面,22.34,1700000,,RPSPMLTLPHOFFAH96CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.16,商,,,1080620,土地2建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,94.00999999999999,2,2,1,有,有,5050000,53718,,0.0,0,,RPUPMLTLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新生路121~150號,9.8,商,,,1080620,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,110.93,2,2,1,有,有,5800000,47409,坡道平面,22.34,1600000,,RPUQMLQLPHOFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,105.71000000000001,2,2,1,有,有,4760000,38589,坡道平面,21.23,1500000,,RPWQMLQLPHOFFAH17CA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路61~90號,9.37,商,,,1080620,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,106.82,2,2,1,有,有,5370000,44626,坡道平面,22.34,1600000,,RPOQMLTLPHOFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區新生路91~120號,10.53,商,,,1080620,土地2建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,97.25,2,2,1,有,有,5710000,58715,,0.0,0,,RPRQMLTLPHOFFAH96CA
